- 1 - 0.00 - 3.47
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.50
a - 1 - 0.00 - 3.49
a - 1 - 0.00 - 3.49
a - 1 - 0.00 - 3.50
c - 1 - 0.00 - 3.50
c - 1 - 0.55 - 3.50
c - 1 - 0.51 - 3.50
c - 1 - 5.13 - 3.50
c - 1 - 0.00 - 3.51
c - 1 - 1.06 - 3.51
c - 1 - 0.00 - 3.51
c - 1 - 0.67 - 3.50
c - 1 - 0.00 - 3.51
c - 1 - 0.70 - 3.51
c - 1 - 0.00 - 3.52
c - 1 - 0.73 - 3.50
c - 1 - 5.29 - 3.51
c - 1 - 0.00 - 3.51
c - 1 - 5.34 - 3.51
c - 1 - 0.00 - 3.51
c - 1 - 5.26 - 3.50
c - 1 - 0.00 - 3.51
c - 1 - 0.75 - 3.50
c - 1 - 5.76 - 3.50
c - 1 - 0.00 - 3.50
c - 1 - 0.00 - 3.50
c - 1 - 0.00 - 3.49
c - 1 - 0.00 - 3.49
c - 1 - 0.00 - 3.49
c - 1 - 4.50 - 3.49
c - 1 - 0.00 - 3.49
b - 1 - 5.08 - 3.50
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.53
b - 1 - 0.00 - 3.53
b - 1 - 3.89 - 3.54
b - 1 - 0.00 - 3.53
b - 1 - 0.00 - 3.53
b - 1 - 0.00 - 3.53
b - 1 - 0.00 - 3.53
b - 1 - 0.00 - 3.53
b - 1 - 0.00 - 3.53
b - 1 - 4.58 - 3.53
b - 1 - 0.00 - 3.53
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.52
b - 1 - 0.00 - 3.53
a - 1 - 0.00 - 3.54
a - 1 - 0.00 - 3.55
a - 1 - 0.23 - 3.56
a - 1 - 4.48 - 3.56
a - 1 - 0.00 - 3.57
a - 1 - 0.44 - 3.57
a - 1 - 4.58 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 6.40 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 4.13 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.58
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
a - 1 - 0.00 - 3.59
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.59
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.57
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 4.38 - 3.57
c - 1 - 0.00 - 3.58
c - 1 - 2.99 - 3.57
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.57
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.57
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.58
c - 1 - 0.00 - 3.57
c - 1 - 0.00 - 3.57
c - 1 - 0.00 - 3.57
c - 1 - 0.00 - 3.57
c - 1 - 5.21 - 3.58
b - 1 - 0.00 - 3.57
b - 1 - 0.25 - 3.57
b - 1 - 5.38 - 3.57
b - 1 - 0.00 - 3.57
b - 1 - 0.30 - 3.56
b - 1 - 4.67 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.39 - 3.56
b - 1 - 5.25 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
b - 1 - 0.00 - 3.56
